n_interior,n_boundary,mse,train_time_sec
20,10,0.2450241250867519,4.279850959777832
20,20,0.2450251610978497,4.100291967391968
20,30,0.24502449416236463,4.220592021942139
20,40,0.24502550618459112,4.201770067214966
20,50,0.24502532130917556,4.219051122665405
20,60,0.24502492108482635,4.126817941665649
20,70,0.24502605232023256,4.1330461502075195
20,80,0.2450248789665091,4.269833087921143
20,90,0.24502517445223962,4.235126972198486
20,100,0.24502358044655076,4.322722911834717
20,110,0.2450250775419468,4.243577241897583
20,120,0.24502553025389043,4.225231170654297
20,130,0.2450236961273476,4.2520387172698975
20,140,0.2450248546601827,4.212997198104858
20,150,0.2450254546228327,4.222898244857788
20,160,0.24502471565739062,4.177011013031006
20,170,0.24502476634464224,4.241544008255005
20,180,0.24502485933615584,4.251665115356445
20,190,0.24502504161233987,4.266786098480225
20,200,0.24502776481618577,4.266783237457275
20,210,0.245026561610963,4.300552845001221
20,220,0.24502475984227248,4.282224893569946
20,230,0.2450245858297889,4.248870134353638
20,240,0.2450235551634636,4.28415322303772
20,250,0.24502540978713036,4.274048089981079
20,260,0.24502497984459273,4.253403186798096
20,270,0.2450242807547156,4.296785116195679
20,280,0.24502223406989143,4.32000207901001
20,290,0.24502587743193086,4.311370134353638
20,300,0.24502525031386768,4.33777117729187
20,310,0.24502529902941314,4.335068941116333
20,320,0.24502534362493952,4.3557140827178955
20,330,0.24502452633033628,4.317218065261841
20,340,0.2450244102025889,4.294034004211426
20,350,0.2450248536155772,4.359857797622681
20,360,0.2450261007272228,4.350884199142456
20,370,0.2450245495227617,4.350369930267334
20,380,0.24502472735923916,4.336805820465088
20,390,0.2450239199601683,4.3856940269470215
40,10,0.3860975326040245,4.205806016921997
40,20,0.27625052459624083,4.2418060302734375
40,30,0.3888912485226816,4.207173109054565
40,40,0.12723650283038382,4.261999130249023
40,50,0.2669429683654205,4.307463884353638
40,60,0.4945441083582461,4.270484924316406
40,70,0.30461411349294976,4.276017904281616
40,80,0.2466941484379206,4.235136985778809
40,90,0.5904242358435058,4.231611967086792
40,100,0.8318203897702456,4.282717943191528
40,110,0.23157937827633523,4.321319103240967
40,120,0.26380903889438495,4.304357051849365
40,130,1.5975088035170153,4.253448963165283
40,140,0.10845606450152909,4.310238838195801
40,150,0.27416367760331184,4.317350149154663
40,160,0.22822424326319743,4.31638503074646
40,170,0.678976509527436,4.300910234451294
40,180,0.20083652381788974,4.3779966831207275
40,190,0.05057325042622348,4.350388050079346
40,200,0.2791609346166836,4.382105827331543
40,210,1.1488049606176922,4.370021104812622
40,220,0.1360012087758464,4.370254039764404
40,230,0.2510650853386296,4.3665289878845215
40,240,1.8576300186028214,4.391150236129761
40,250,0.2671592739305675,4.385969161987305
40,260,0.14389821952558757,4.397241115570068
40,270,0.33476986297452227,4.438565015792847
40,280,0.7921856596344282,4.378643989562988
40,290,0.19885371982055816,4.418423891067505
40,300,0.20595819784637825,4.388769865036011
40,310,0.15571312354648653,4.428630828857422
40,320,0.1320159436175101,4.382650852203369
40,330,0.31187988945347433,4.442103147506714
40,340,0.5769894532793649,4.451374053955078
40,350,1.9769304844538953,4.48851203918457
40,360,0.15822563819090504,4.476369857788086
40,370,0.16665492736157028,4.494709014892578
40,380,0.3041586754681609,4.459407091140747
40,390,1.6059192766486172,4.4456260204315186
60,10,0.9844898072986498,4.232496023178101
60,20,0.39875629189574946,4.300681114196777
60,30,0.3120611234146014,4.276668310165405
60,40,0.16619516500879553,4.32797384262085
60,50,0.3046693561144249,4.285123825073242
60,60,0.13856480691799983,4.289233207702637
60,70,0.10723407822732384,4.284625768661499
60,80,0.2406448751183993,4.341935873031616
60,90,0.2721353406148399,4.3427979946136475
60,100,0.12251919180377904,4.32540488243103
