activation,layers,width,mse,train_time_sec
tanh,1,1,1.0009980201721191,1.2880260944366455
tanh,1,2,1.000095009803772,1.2124018669128418
tanh,1,3,0.11449220776557922,1.2305810451507568
tanh,1,4,0.1182611882686615,1.1822102069854736
tanh,1,5,0.13530801236629486,1.2016410827636719
tanh,1,6,0.4262442886829376,1.2177720069885254
tanh,1,7,0.9539310932159424,1.1849040985107422
tanh,1,8,0.10934686660766602,1.2162280082702637
tanh,1,9,0.11117072403430939,1.204784870147705
tanh,1,10,0.10589699447154999,1.1836838722229004
tanh,1,11,0.18151256442070007,1.2237470149993896
tanh,1,12,0.8594455122947693,1.2294068336486816
tanh,1,13,0.17869454622268677,1.2390389442443848
tanh,1,14,0.10751033574342728,1.2334449291229248
tanh,1,15,0.1559019237756729,1.2042381763458252
tanh,1,16,0.14835229516029358,1.2412281036376953
tanh,1,17,0.12818419933319092,1.2169888019561768
tanh,1,18,0.10714854300022125,1.2277209758758545
tanh,1,19,0.12548238039016724,1.2373480796813965
tanh,1,20,0.14045792818069458,1.2233119010925293
tanh,2,1,1.0000009536743164,1.7367630004882812
tanh,2,2,1.0000267028808594,1.7614879608154297
tanh,2,3,1.0010563135147095,1.8134961128234863
tanh,2,4,0.13533228635787964,1.7711899280548096
tanh,2,5,0.9538442492485046,1.7624537944793701
tanh,2,6,0.5403529405593872,1.837162971496582
tanh,2,7,0.5717146992683411,1.8032760620117188
tanh,2,8,0.10467729717493057,1.7708969116210938
tanh,2,9,0.04753653705120087,1.8098008632659912
tanh,2,10,0.1092747375369072,1.8335027694702148
tanh,2,11,0.09665079414844513,1.8430309295654297
tanh,2,12,0.035981886088848114,1.8321599960327148
tanh,2,13,0.03102252446115017,1.8782050609588623
tanh,2,14,0.025835677981376648,1.892106056213379
tanh,2,15,0.09729894995689392,1.957521915435791
tanh,2,16,0.03232898563146591,1.9411089420318604
tanh,2,17,0.11927822977304459,2.0091309547424316
tanh,2,18,0.08604196459054947,1.9169867038726807
tanh,2,19,0.08969391882419586,1.9745149612426758
tanh,2,20,0.10009706765413284,1.9673190116882324
tanh,3,1,0.999999463558197,2.3079280853271484
tanh,3,2,0.9755995273590088,2.3294830322265625
tanh,3,3,0.08922945708036423,2.375519037246704
tanh,3,4,0.9999644756317139,2.335888147354126
tanh,3,5,0.16418328881263733,2.3902721405029297
tanh,3,6,0.03423037379980087,2.4003541469573975
tanh,3,7,0.08850423991680145,2.4561009407043457
tanh,3,8,0.03378070518374443,2.348351001739502
tanh,3,9,0.04119748994708061,2.3940038681030273
tanh,3,10,0.03762855753302574,2.45224928855896
tanh,3,11,0.030212463811039925,2.486176013946533
tanh,3,12,0.04892759397625923,2.472038984298706
tanh,3,13,0.04095432162284851,2.5433850288391113
tanh,3,14,0.02225821278989315,2.5775530338287354
tanh,3,15,0.03242437541484833,2.6834628582000732
tanh,3,16,0.027511103078722954,2.547740936279297
tanh,3,17,0.03336767479777336,2.5869228839874268
tanh,3,18,0.04766646400094032,2.5775909423828125
tanh,3,19,0.022660164162516594,2.593902826309204
tanh,3,20,0.031314123421907425,2.599174976348877
tanh,4,1,0.9097391366958618,2.8706979751586914
tanh,4,2,0.9977129101753235,3.016479969024658
tanh,4,3,0.13482706248760223,2.9547410011291504
tanh,4,4,0.04417644441127777,2.914738893508911
tanh,4,5,0.9993249773979187,2.972411870956421
tanh,4,6,0.08629818260669708,3.013773202896118
tanh,4,7,0.016538221389055252,3.0940051078796387
tanh,4,8,0.06494763493537903,2.9882569313049316
tanh,4,9,0.0222504623234272,3.052410125732422
tanh,4,10,0.01566426083445549,3.1068949699401855
tanh,4,11,0.02376205287873745,3.1990489959716797
tanh,4,12,0.01729242317378521,3.0902161598205566
tanh,4,13,0.02057008258998394,3.181555986404419
tanh,4,14,0.030820531770586967,3.280601739883423
tanh,4,15,0.08585889637470245,3.383481025695801
tanh,4,16,0.01977798156440258,3.2517130374908447
tanh,4,17,0.026582570746541023,3.260510206222534
tanh,4,18,0.036007724702358246,3.2598469257354736
tanh,4,19,0.012881822884082794,3.2856268882751465
tanh,4,20,0.010775817558169365,3.2503199577331543
tanh,5,1,1.0000817775726318,3.4865732192993164
tanh,5,2,1.0000064373016357,3.5867528915405273
tanh,5,3,0.9895296692848206,3.6009528636932373
tanh,5,4,0.08598432689905167,3.5174930095672607
tanh,5,5,0.9983534216880798,3.596122980117798
tanh,5,6,0.03549676015973091,3.6155731678009033
tanh,5,7,0.03507550060749054,3.735443353652954
tanh,5,8,0.07893886417150497,3.605447769165039
tanh,5,9,0.02409537509083748,3.7427711486816406
tanh,5,10,0.012938729487359524,3.802794933319092
tanh,5,11,0.016474653035402298,3.890746831893921
tanh,5,12,0.035448163747787476,3.7765960693359375
tanh,5,13,0.02122425101697445,3.9179530143737793
tanh,5,14,0.020919980481266975,3.9975459575653076
tanh,5,15,0.020302386954426765,4.2064409255981445
tanh,5,16,0.11737732589244843,3.9031147956848145
tanh,5,17,0.01345905102789402,4.0504090785980225
tanh,5,18,0.026627466082572937,3.9719231128692627
tanh,5,19,0.01144223939627409,3.974752902984619
tanh,5,20,0.019664829596877098,4.023052930831909
tanh,6,1,1.0000355243682861,4.03911280632019
tanh,6,2,0.7553959488868713,4.096089839935303
tanh,6,3,0.9987033009529114,4.148880243301392
tanh,6,4,0.022532455623149872,4.0605597496032715
tanh,6,5,0.018652131780982018,4.188114166259766
tanh,6,6,0.05402946099638939,4.237343072891235
tanh,6,7,0.11559274792671204,4.415961980819702
tanh,6,8,0.013949863612651825,4.184586048126221
tanh,6,9,0.01692345179617405,4.285476922988892
tanh,6,10,0.02055938169360161,4.441314935684204
tanh,6,11,0.019255146384239197,4.565017938613892
tanh,6,12,0.011986239813268185,4.601806163787842
tanh,6,13,0.014117586426436901,4.590715169906616
tanh,6,14,0.018557852134108543,4.685470104217529
tanh,6,15,0.035621676594018936,4.882876873016357
tanh,6,16,0.008908702991902828,4.552361011505127
tanh,6,17,0.010767769999802113,4.613243818283081
tanh,6,18,0.012997857294976711,4.66477632522583
tanh,6,19,0.021350665017962456,4.748596906661987
tanh,6,20,0.00935161579400301,4.67367696762085
tanh,7,1,1.0,4.550829887390137
tanh,7,2,0.3896557092666626,4.6120641231536865
tanh,7,3,0.24025997519493103,4.733515977859497
